Date,USA_CPI_2015base,USA_CPI_MoM_Change,Italy_HICP_2015base,Italy_HICP_MoM_Change,EuroArea_HICP_2015base,EuroArea_HICP_MoM_Change
1/1/2019,107.5885954,,102.96,,101.5,
2/1/2019,107.9114962,0.300125514,103.28,0.310800311,101.2,-0.295566502
3/1/2019,108.3195951,0.378179292,104.34,1.026336174,103.5,2.272727273
4/1/2019,108.7268421,0.37596794,105.09,0.71880391,104,0.483091787
5/1/2019,108.7536795,0.024683329,105.23,0.133219145,104.1,0.096153846
6/1/2019,108.7183223,-0.032511281,105.4,0.161550889,104.2,0.096061479
7/1/2019,108.9692307,0.230787617,104.91,-0.464895636,102.3,-1.823416507
8/1/2019,109.0689125,0.091477002,105.05,0.133447717,102.3,0
9/1/2019,109.2367528,0.15388461,105.28,0.21894336,103.7,1.368523949
10/1/2019,109.5455959,0.28272823,105.43,0.142477204,103.9,0.192864031
11/1/2019,109.854013,0.281542261,105.09,-0.322488855,103.6,-0.288739172
12/1/2019,110.1739319,0.291221852,105.42,0.314016557,103.8,0.193050193
1/1/2020,110.3856492,0.192166415,104.37,-0.996015936,101.9,-1.83044316
2/1/2020,110.4380461,0.047467072,104.55,0.172463352,101.4,-0.490677134
3/1/2020,109.9379332,-0.452844744,105.12,0.545193687,103.6,2.169625247
4/1/2020,109.0672085,-0.792014755,105.42,0.285388128,104.1,0.482625483
5/1/2020,108.9692307,-0.089832521,105.32,-0.094858661,103.8,-0.288184438
6/1/2020,109.497459,0.484749924,105.68,0.34181542,103.8,0
7/1/2020,110.0555066,0.509644338,105.31,-0.35011355,103.1,-0.674373796
8/1/2020,110.4661614,0.373134328,104.87,-0.417814073,101.8,-1.260911736
9/1/2020,110.756261,0.262613954,104.95,0.076284924,102.7,0.884086444
10/1/2020,110.8934299,0.123847583,105.14,0.18103859,103.3,0.584225901
11/1/2020,111.1456163,0.227413289,104.79,-0.332889481,103.3,0
12/1/2020,111.6286896,0.434630966,105.13,0.324458441,103.5,0.193610842
1/1/2021,111.881728,0.226678624,105.31,0.171216589,102.6,-0.869565217
2/1/2021,112.2796031,0.355621214,105.53,0.208907036,102.4,-0.194931774
3/1/2021,112.8223151,0.483357552,106.52,0.938121861,104.2,1.7578125
4/1/2021,113.5797263,0.671330995,107.12,0.563274502,105.1,0.863723608
5/1/2021,114.3375634,0.667229255,107.4,0.261389096,105,-0.095147479
6/1/2021,115.3198976,0.859152621,107.69,0.270018622,105.2,0.19047619
7/1/2021,115.8545157,0.46359573,107.6,-0.083573219,104.1,-1.045627376
8/1/2021,116.1897703,0.289375471,107.97,0.343866171,104.3,0.192122959
9/1/2021,116.696699,0.436293776,108.48,0.472353432,105.7,1.342281879
10/1/2021,117.7983105,0.943995444,109.4,0.848082596,106.6,0.851466414
11/1/2021,118.7763848,0.830295666,109.89,0.447897623,107.3,0.656660413
12/1/2021,119.620698,0.710842682,110.36,0.427700428,107.8,0.465983225
1/1/2022,120.3602176,0.618220408,110.69,0.299021385,107.8,0
2/1/2022,121.2049568,0.701842558,111.73,0.939560936,108.7,0.834879406
3/1/2022,122.458221,1.034004042,114.45,2.434440168,111.3,2.391904324
4/1/2022,122.9332004,0.387870608,115.11,0.576671035,111.7,0.359389039
5/1/2022,124.0906167,0.941500163,116.07,0.833984884,112.7,0.895255148
6/1/2022,125.697879,1.295232733,117.02,0.818471612,114.1,1.242236025
7/1/2022,125.6416482,-0.044734844,117.16,0.119637669,112.8,-1.139351446
8/1/2022,125.7362181,0.075269546,117.87,0.606008877,113.8,0.886524823
9/1/2022,126.2725402,0.426545423,119.27,1.187749215,115.6,1.58172232
10/1/2022,126.9362335,0.525603787,121.04,1.484027836,120,3.806228374
11/1/2022,127.2467806,0.244648113,120.96,-0.066093853,120.8,0.666666667
12/1/2022,127.2893796,0.03347751,120.53,-0.355489418,121.1,0.248344371
1/1/2023,127.991412,0.551524725,120.28,-0.207417241,119.3,-1.486374897
2/1/2023,128.4259224,0.339483984,121.25,0.806451613,119.4,0.083822297
3/1/2023,128.4970628,0.055394128,122.35,0.907216495,120.3,0.753768844
4/1/2023,129.0146413,0.402794031,123.13,0.637515325,121.3,0.831255195
5/1/2023,129.209745,0.151225987,123.17,0.03248599,121.7,0.329760923
6/1/2023,129.5432955,0.258146619,123.48,0.251684663,121.8,0.082169269
7/1/2023,129.7631067,0.169681584,123.37,-0.089083252,119.9,-1.559934319
8/1/2023,130.4118902,0.499975379,124.04,0.543081786,120.1,0.166805671
9/1/2023,130.9384145,0.40373949,124.44,0.32247662,122.1,1.665278934
10/1/2023,131.0572659,0.0907689,124.55,0.088396014,122.2,0.081900082
11/1/2023,131.2421458,0.141068021,123.86,-0.55399438,121.5,-0.572831424
12/1/2023,131.5181877,0.210330199,124.06,0.16147263,121.7,0.164609053
1/1/2024,131.9693116,0.343012616,123.62,-0.354667097,120.4,-1.068200493
2/1/2024,132.492428,0.396392441,124.38,0.614787251,120.4,0
3/1/2024,132.9546277,0.348849921,125.32,0.755748513,121.8,1.162790698
4/1/2024,133.3418531,0.291246271,126.05,0.582508778,122.4,0.492610837
5/1/2024,133.394676,0.039614588,126.32,0.214200714,122.7,0.245098039
6/1/2024,133.3908421,-0.002874114,126.59,0.213742875,122.9,0.162999185
7/1/2024,133.5761479,0.138919494,126.56,-0.023698554,121.8,-0.895036615
8/1/2024,133.8168326,0.180185352,126.73,0.134323641,121.6,-0.164203612
9/1/2024,134.1235458,0.22920374,126.61,-0.094689497,123,1.151315789
10/1/2024,134.427277,0.226456324,127.05,0.347523892,123.4,0.325203252
11/1/2024,134.8042786,0.280450241,126.63,-0.330578512,123.3,-0.081037277
12/1/2024,135.2958717,0.364671716,127.08,0.355366027,123.4,0.081103001
1/1/2025,135.9276157,0.466935136,126.73,-0.27541706,122.4,-0.810372771
2/1/2025,136.2211232,0.215929248,127.28,0.43399353,122.5,0.081699346
3/1/2025,136.1529647,-0.050035181,128.05,0.604965431,124.4,1.551020408
4/1/2025,136.453714,0.220890759,128.78,0.570089809,124.9,0.40192926
