Date,Non_Fuel_Index,Fuel_Index
1/1/2019,106.0827243,132.8378972
2/1/2019,107.3762077,135.1878033
3/1/2019,107.0785495,137.1353418
4/1/2019,109.0231404,142.6788977
5/1/2019,107.1796734,137.6630885
6/1/2019,109.8833095,122.0758189
7/1/2019,111.5973652,125.7324603
8/1/2019,108.5153723,117.138292
9/1/2019,108.2885626,122.4373018
10/1/2019,107.7126227,119.7971672
11/1/2019,108.6816266,127.6314617
12/1/2019,111.1371628,131.10422
1/1/2020,113.743945,126.1420732
2/1/2020,110.7240257,109.2893591
3/1/2020,107.1191375,72.9941675
4/1/2020,105.20737,55.89051244
5/1/2020,108.1062566,68.01149929
6/1/2020,111.9868177,82.39756359
7/1/2020,114.2739222,86.41654736
8/1/2020,119.3630135,93.22718575
9/1/2020,120.1026412,91.29755536
10/1/2020,122.2000227,95.40285718
11/1/2020,125.1422924,100.8954115
12/1/2020,129.9251787,118.4939795
1/1/2021,135.928824,138.4462725
2/1/2021,138.1947463,137.6649083
3/1/2021,140.2208396,142.1365483
4/1/2021,146.6577604,143.1937142
5/1/2021,155.6350577,154.5574743
6/1/2021,153.7573433,170.8951411
7/1/2021,153.4041799,181.3499161
8/1/2021,148.9180474,183.8065148
9/1/2021,143.0134772,212.8790642
10/1/2021,146.5928616,256.4607542
11/1/2021,146.7271592,235.6833316
12/1/2021,149.8433368,239.9910325
1/1/2022,158.2865519,241.3773783
2/1/2022,164.4158193,260.0483626
3/1/2022,176.3131146,331.7837593
4/1/2022,178.3036374,300.5331779
5/1/2022,170.796959,306.6749792
6/1/2022,164.8753335,328.1234804
7/1/2022,150.3824498,343.8099974
8/1/2022,148.9386404,376.4120826
9/1/2022,143.8811237,330.1495859
10/1/2022,144.0151053,259.8586762
11/1/2022,147.299088,256.8597387
12/1/2022,149.9967623,258.501791
1/1/2023,154.5429278,223.272585
2/1/2023,155.7865953,201.7183933
3/1/2023,156.04778,186.0231551
4/1/2023,155.8291209,192.3685227
5/1/2023,148.7744431,169.2259139
6/1/2023,145.9433742,165.8229234
7/1/2023,146.1091098,174.9771808
8/1/2023,142.639895,188.2219404
9/1/2023,143.7567227,204.5525243
10/1/2023,143.7251557,202.8911369
11/1/2023,148.0874625,189.8018052
12/1/2023,148.7219011,175.1840981
1/1/2024,149.394276,173.6640205
2/1/2024,148.5422843,173.2323324
3/1/2024,151.5033083,179.8155651
4/1/2024,157.8609272,188.5315562
5/1/2024,158.8839585,182.8789596
6/1/2024,153.3918133,186.0419237
7/1/2024,152.4510865,185.9345288
8/1/2024,152.0553752,181.7051645
9/1/2024,155.2413326,170.4434378
10/1/2024,159.2453625,177.0238587
11/1/2024,158.5087145,177.3429905
12/1/2024,159.1709881,177.4299483
1/1/2025,161.8269581,188.6211633
2/1/2025,164.3567034,183.0705935
3/1/2025,163.7419694,172.7219259
4/1/2025,164.9980862,159.4505764
