Regione,Anno,Numero_Transazioni,Prezzo_Medio,Variazione_%_Prezzo
ABRUZZO,2011,12794.64,887.5567924,
BASILICATA,2011,3794.09,712.6140873,
CALABRIA,2011,14234.84,669.9429899,
CAMPANIA,2011,33362.92,1196.913958,
EMILIA-ROMAGNA,2011,48554.64,1584.395949,
LAZIO,2011,64961.43,1707.886412,
LIGURIA,2011,20541.82,2372.061187,
LOMBARDIA,2011,116746.43,1354.841668,
MARCHE,2011,14169.89,1289.933681,
MOLISE,2011,2918.71,716.3930582,
PIEMONTE,2011,52176.1,1102.931734,
PUGLIA,2011,33607.68,985.5014124,
SARDEGNA,2011,14035.51,900.7979288,
SICILIA,2011,40422.63,909.1871964,
TOSCANA,2011,37131.45,1911.170141,
UMBRIA,2011,8431.7,1038.006166,
VALLE D'AOSTA,2011,1870.99,2508.691275,
VENETO,2011,47768.08,1224.028571,
ABRUZZO,2012,9437.54,890.8340899,0.36924933
BASILICATA,2012,3173.01,701.1631944,-1.606885559
CALABRIA,2012,11350.02,666.0132855,-0.586572946
CAMPANIA,2012,28027.26,1170.800641,-2.181720457
EMILIA-ROMAGNA,2012,33854.24,1582.711877,-0.106291085
LAZIO,2012,47821.12,1700.34284,-0.441690484
LIGURIA,2012,15110.78,2346.633557,-1.071963461
LOMBARDIA,2012,87276.55,1330.240862,-1.815769805
MARCHE,2012,9932.35,1269.976581,-1.547141549
MOLISE,2012,2120.13,721.7005545,0.740863735
PIEMONTE,2012,38685.89,1070.492799,-2.94115526
PUGLIA,2012,24983.92,969.2363382,-1.650436424
SARDEGNA,2012,10786.89,905.1194268,0.479741102
SICILIA,2012,29613.61,904.1548443,-0.553500107
TOSCANA,2012,27572.38,1885.630182,-1.336351916
UMBRIA,2012,6146.03,1033.636364,-0.420980433
VALLE D'AOSTA,2012,1448.96,2539.666667,1.234723133
VENETO,2012,34569.89,1231.28581,0.592897801
ABRUZZO,2013,8338.96,882.4261699,-0.943825573
BASILICATA,2013,2879.01,695.0595238,-0.870506422
CALABRIA,2013,10058.59,658.7689713,-1.087713167
CAMPANIA,2013,24737.43,1116.721304,-4.619004772
EMILIA-ROMAGNA,2013,31536.74,1541.423569,-2.608706539
LAZIO,2013,43360.37,1658.257668,-2.4750992
LIGURIA,2013,14127.56,2279.880012,-2.844651441
LOMBARDIA,2013,79676.74,1302.991408,-2.04846015
MARCHE,2013,8554.9,1258.166433,-0.929950027
MOLISE,2013,1834.44,724.6309963,0.406046769
PIEMONTE,2013,35254.95,1051.759287,-1.749989565
PUGLIA,2013,23735.19,936.4150069,-3.386308367
SARDEGNA,2013,9343.22,898.8313767,-0.694720479
SICILIA,2013,26928.12,883.9977555,-2.22938459
TOSCANA,2013,24768.05,1830.897054,-2.902643847
UMBRIA,2013,5462.37,995.1582278,-3.722598889
VALLE D'AOSTA,2013,1330.37,2415.717256,-4.880538559
VENETO,2013,31865.62,1270.937257,3.220328433
ABRUZZO,2014,8031.44,869.6605293,-1.446652537
BASILICATA,2014,2789.13,725.6355932,4.399057687
CALABRIA,2014,9312.95,684.7488348,3.943698717
CAMPANIA,2014,25191.85,1103.825173,-1.154820856
EMILIA-ROMAGNA,2014,33835.08,1433.114512,-7.02656031
LAZIO,2014,47125.51,1562.994116,-5.74479793
LIGURIA,2014,15233.85,2234.341436,-1.997411095
LOMBARDIA,2014,82654.82,1305.558435,0.197010247
MARCHE,2014,8701.32,1246.75412,-0.907059134
MOLISE,2014,2027.7,726.0612245,0.19737331
PIEMONTE,2014,36423.55,1048.602816,-0.300113432
PUGLIA,2014,24854.6,1018.881538,8.80662216
SARDEGNA,2014,9087.15,1087.813422,21.02530575
SICILIA,2014,27507.7,928.2604481,5.007104631
TOSCANA,2014,26524.48,1808.127794,-1.243612227
UMBRIA,2014,5606.91,1043.914801,4.899378991
VALLE D'AOSTA,2014,1308.43,2338.981233,-3.17653162
VENETO,2014,33770.59,1319.444829,3.816677179
ABRUZZO,2015,8707.41,844.546893,-2.887751659
BASILICATA,2015,3161.53,727.3138034,0.231274509
CALABRIA,2015,9509.62,682.1105072,-0.385298583
CAMPANIA,2015,27052.42,1071.79011,-2.90218636
EMILIA-ROMAGNA,2015,36450.9,1382.055849,-3.562776197
LAZIO,2015,48270.03,1506.412591,-3.620072782
LIGURIA,2015,15844.04,2226.294843,-0.36013264
LOMBARDIA,2015,90664.93,1303.927781,-0.124900839
MARCHE,2015,9372.81,1195.978706,-4.072608456
MOLISE,2015,1960.23,718.4576613,-1.04723444
PIEMONTE,2015,38601.08,1019.111206,-2.812467193
PUGLIA,2015,25854.15,1010.527623,-0.819910417
SARDEGNA,2015,9928.13,1054.077086,-3.101297968
SICILIA,2015,29026.3,904.5171175,-2.557830686
TOSCANA,2015,29707.93,1732.775057,-4.167445357
UMBRIA,2015,5971.94,1018.781095,-2.407639631
VALLE D'AOSTA,2015,1315.31,2295.102564,-1.875973544
VENETO,2015,38062.81,1299.111035,-1.541087077
ABRUZZO,2016,9945.77,820.3754315,-2.862062681
BASILICATA,2016,3497.95,725.2132937,-0.288803776
CALABRIA,2016,10491.13,674.9081738,-1.055889529
CAMPANIA,2016,31036.1,1053.032356,-1.750133156
EMILIA-ROMAGNA,2016,44642.68,1359.275078,-1.648324925
LAZIO,2016,54542.28,1466.745316,-2.633227811
LIGURIA,2016,19505.38,2206.679709,-0.881066305
LOMBARDIA,2016,109782.9,1307.953767,0.308758331
MARCHE,2016,11161.94,1008.734631,-15.65613785
MOLISE,2016,2093.58,716.4012097,-0.286231427
PIEMONTE,2016,47066.77,1000.124953,-1.863020751
PUGLIA,2016,30331.01,1007.56953,-0.292727506
SARDEGNA,2016,11740.8,1046.911972,-0.679752415
