Regione,anno,NTN_totale,NTN_fino_a_50_mq,NTN_50_85_mq,NTN_85_115_mq,NTN_115_145_mq,NTN_oltre_145_mq
Abruzzo ,2011,12794.64,1240.51,4696.73,3196.8,2023.86,1636.74
Basilicata,2011,3794.09,593.61,1168.35,900.21,685.53,446.39
Calabria,2011,14234.84,1937.47,4428.49,3157.62,2681.97,2029.29
Campania,2011,33362.92,3508.3,7785.33,9172.84,7443.18,5453.27
Emilia-Romagna,2011,48554.64,3928.37,17174.88,13948.2,6740.93,6762.26
Friuli- Venezia Giulia,2011,8273.55,575.44,2020.1,2194.99,1415.24,2067.78
Lazio,2011,64961.43,7183.01,26559.93,16878.47,7996.58,6343.44
Liguria,2011,20541.82,3014.18,8574.21,5274.21,2143.32,1535.9
Lombardia,2011,116746.43,11548.77,43857.54,31708.55,15159.4,14472.17
Marche,2011,14169.89,1118.45,4552.3,4126.55,2312.35,2060.24
Molise,2011,2918.71,398.93,976.07,683.38,446.79,413.54
Piemonte,2011,52176.1,4590.06,17728.29,13492.85,7603.1,8761.8
Puglia,2011,33607.68,4290.39,8976.97,9531.84,6443.83,4364.65
Sardegna,2011,14035.51,1568.78,5078.09,3278.66,2088.01,2021.97
Sicilia,2011,40422.63,4910.92,10106.68,10484.94,8667.78,6252.31
Toscana,2011,37131.45,3361.68,12800.12,10192.91,5428.42,5348.32
Umbria,2011,8431.7,671.62,2433.11,2411.09,1403.07,1512.81
Valle d'Aosta,2011,1870.99,424.52,780.98,383.5,157.27,124.72
Veneto,2011,47768.08,2880.95,14210.71,13451.64,8129.41,9095.37
Italia,2011,575797.0999999999,57745.95999999999,193908.88,154469.25,88970.04000000002,80702.97
Abruzzo ,2012,9437.54,975.39,3372.51,2362.46,1500.04,1227.14
Basilicata,2012,3173.01,478.39,985.75,752.43,555.36,401.08
Calabria,2012,11350.02,1545.57,3298.43,2851.78,2051.56,1602.68
Campania,2012,28027.26,3060.84,6758.2,8200.27,5705.71,4302.24
Emilia-Romagna,2012,33854.24,2631.62,11427.93,9763.48,4948.67,5082.54
Friuli- Venezia Giulia,2012,5655.79,343.72,1345.17,1432.75,1057.99,1476.16
Lazio,2012,47821.12,5192.87,19352.12,12662.29,5977.12,4636.72
Liguria,2012,15110.78,2175.45,6318.28,3805.86,1618.55,1192.64
Lombardia,2012,87276.55,8512.03,32234.75,23823.35,11469.57,11236.85
Marche,2012,9932.35,777.79,3012.17,2908.7,1690.32,1543.37
Molise,2012,2120.13,288.48,719.88,510.64,314.39,286.74
Piemonte,2012,38685.89,3393.07,13150.98,9854.76,5723.17,6563.91
Puglia,2012,24983.92,3283.03,6735.32,7061.04,4736.29,3168.24
